,,,,Margin Report Day 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument,Code,Position Type,Quantity,"Unit Price
(Local)
","Value 
(Local)","Exposure 
(Local)",Price Ccy,FX Rate,Instrument Class,"Exposure 
(USD)","Requirement 
(USD)",%Req,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT PPTY TR ORD,CTPT LN,Cash,"2,556,887",0.7300,"1,866,528","1,866,528",GBP,1.2352,Equity,"2,847,797","2,242,554",78.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERGUSON ORD,FERG LN,Cash,"1,157",113.4500,"131,262","131,262",GBP,1.2352,Equity,"200,268","43,330",21.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARBOURVEST GLOBAL ORD,HVPE LN,Cash,"131,249",22.1000,"2,900,603","2,900,603",GBP,1.2352,Equity,"4,425,505","1,449,909",32.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGELLAN GLOBAL UNT,MGF AU,Cash,"500,000",1.3950,"697,500","697,500",AUD,0.7060,Equity,"347,659","75,220",21.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB GLOBAL MONTHLY INCOME FUND ORD,NBMI LN,Cash,"3,000,000",0.7460,"2,238,000","2,238,000",GBP,1.2352,Equity,"3,414,559","2,855,789",83.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW ENERGY SOLAR STAPLED UNT,NEW AU,Cash,"7,684,727",0.2000,"1,536,945","1,536,945",AUD,0.7060,Equity,"766,069","656,356",85.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANTHEON INTERNATIONAL CF,PIN LN,Cash,"1,421,921",2.6450,"3,760,981","3,760,981",GBP,1.2352,Equity,"5,738,200","2,809,682",48.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTAURANT BRANDS INTERN,QSR,Cash,"-8,500",66.5900,"-566,015","-566,015",USD,1.0000,Equity,"-566,015","84,902",15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THIRD POINT INVESTORS ORD,TPOU LN,Cash,"119,714",20.4000,"2,442,166","2,442,166",USD,1.0000,Equity,"2,442,166","1,704,081",69.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIAN INVESTORS 1 ORD,TI1 LN,Cash,"1,333,000",1.8400,"2,452,720","2,452,720",GBP,1.2352,Equity,"3,742,162","3,706,765",99.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
