Instrument,Code,Position Type,Quantity,"Unit Price
(Local)
","Value 
(Local)","Exposure 
(Local)",Price Ccy,FX Rate,Instrument Class,"Exposure 
(USD)","Requirement 
(USD)",%Req
CT PPTY TR ORD,CTPT LN,Cash,"2,556,887",0.71,"1,815,390","1,815,390",GBP,1.232,Equity,"2,755,442","2,169,284",78.73
FERGUSON ORD,FERG LN,Cash,"1,157",113.6,"131,435","131,435",GBP,1.232,Equity,"199,496","43,020",21.56
HARBOURVEST GLOBAL ORD,HVPE LN,Cash,"131,249",22.1,"2,900,603","2,900,603",GBP,1.232,Equity,"4,402,605","1,411,042",32.05
MAGELLAN GLOBAL UNT,MGF AU,Cash,"500,000",1.39,"695,000","695,000",AUD,0.7055,Equity,"345,923","74,597",21.56
NB GLOBAL MONTHLY INCOME FUND ORD,NBMI LN,Cash,"3,000,000",0.732,"2,196,000","2,196,000",GBP,1.232,Equity,"3,333,142","2,887,549",86.63
NEW ENERGY SOLAR STAPLED UNT,NEW AU,Cash,"7,684,727",0.068,"522,561","522,561",AUD,0.7055,Equity,"260,095","222,742",85.64
PANTHEON INTERNATIONAL CF,PIN LN,Cash,"1,421,921",2.645,"3,760,981","3,760,981",GBP,1.232,Equity,"5,708,507","2,705,224",47.39
RESTAURANT BRANDS INTERN,QSR,Cash,"-8,500",66.93,"-568,905","-568,905",USD,1,Equity,"-568,905","85,336",15
THIRD POINT INVESTORS ORD,TPOU LN,Cash,"119,714",20.4,"2,442,166","2,442,166",USD,1,Equity,"2,442,166","1,751,012",71.7
TRIAN INVESTORS 1 ORD,TI1 LN,Cash,"1,333,000",1.845,"2,459,385","2,459,385",GBP,1.232,Equity,"3,732,914","3,710,262",99.39
UMG ORD,UMG NA,Synthetic,"-44,000",23.47,"-42,240","-1,032,680",EUR,1.0863,Equity,"-1,218,612","182,792",15
AFRICA OPPORTUNITY ORD,AOF LN,Fully Paid,"2,760,062",0.54,"1,490,433","1,490,433",USD,1,Equity,"1,490,433","1,490,433",100
ALLIED MINDS ORD,ALM LN,Fully Paid,"18,462,237",0.1385,"2,557,020","2,557,020",GBP,1.232,Equity,"3,881,106","3,881,106",100
AMEDEO AIR FOUR PLUS ORD,AA4 LN,Fully Paid,"23,788,430",0.4,"9,515,372","9,515,372",GBP,1.232,Equity,"14,442,660","14,442,660",100
